NAM 1 Hum,NAM 2 Hum,NAM 1 Temp,NAM 2 Temp,Luftdaten Hum,Luftdaten Temp,Luftdaten PM10,Luftdaten PM2.5,Reference PM10,Reference PM2.5
32.98,29.52,22.44,24.35,25.24,33.03,6.14458333333333,1.81708333333333,37.3,12.4
29.13,27.58,23.75,25.11,26.95,29.98,4.99260869565217,1.78826086956521,36.3,10.8
29.48,28.7,24.26,25.4,32.9,25.45,6.68416666666666,1.89416666666666,30.1,10.2
28.76,28.01,24.17,25.25,32.92,25.35,5.4891304347826,1.8895652173913,33.1,11.1
27.21,27.12,25.75,26.1,33.55,25.32,5.4925,1.81125,34.9,11.2
25.85,27.08,26.66,26.28,33.37,25.55,6.52041666666666,1.90458333333333,33.9,10.8
26.5,28.67,26.06,24.89,33.88,24.92,8.13434782608695,2.15347826086956,38.6,11.5
22.97,28.81,29.24,25.14,36.82,24.43,7.68833333333333,2.22625,40.3,12.2
28.18,31.25,26.34,24.56,38.67,24.61,6.64347826086956,1.86043478260869,35.2,11.8
32.33,32.79,23.28,23.17,39.61,23.2,8.35458333333333,1.98208333333333,39.8,12.5
31.51,31.55,21.5,21.59,39.2,21.3,6.12875,1.79833333333333,35.6,11.6
34.44,33.92,20.13,20.26,42.39,19.67,6.16260869565217,1.86782608695652,37.6,11.8
38.02,37.3,19,19.11,45.9,18.54,8.31625,2.15083333333333,31,11.5
39.89,39.42,18.23,18.25,48.51,17.66,5.70666666666666,2.15166666666666,37.7,12.9
42.59,41.99,17.53,17.5,51.32,17.01,6.5195652173913,1.88130434782608,24.6,11.4
46.26,45.85,17.08,16.98,55.39,16.63,5.50291666666666,1.69416666666666,32.1,13.5
48.78,48.53,16.62,16.37,58.64,16.15,4.99041666666666,1.7,19.2,10.7
49.3,50.17,16.22,15.7,62.93,15.28,5.19260869565217,2.09304347826087,31,12.2
51.09,52.56,15.74,15.26,68.26,14.7,5.08208333333333,1.94208333333333,25.8,11.3
51.55,53.98,16.15,15.3,67.57,14.84,5.90708333333333,2.3275,22.4,10.5
48.57,51.4,17.09,15.88,62.21,15.81,8.85727272727272,2.66272727272727,31.7,12.5
43.31,46.2,19.33,17.82,52.78,18.84,6.70434782608695,2.11304347826087,44.6,14.6
36.82,38.48,22.05,21.1,35.42,27.15,6.22833333333333,2.14708333333333,36.7,12.9
31.98,32.62,24.76,24.22,29,31.53,7.15166666666666,2.13208333333333,37.4,11.8
29.9,29.43,25.75,26.02,26.87,33.31,5.64043478260869,2.0895652173913,41.2,11.3
28.12,27.68,26.86,27.26,28.47,31.17,8.04625,2.265,35.9,10.7
28,26.81,26.5,27.54,31.17,28.63,5.23875,1.85333333333333,44.7,12
27.84,25.29,26.53,28.44,33.53,27,5.40043478260869,1.89869565217391,35.2,10.4
24.95,23.89,28.51,29.27,33.35,26.88,5.625,1.70708333333333,33.1,10.3
21.22,23.39,31.41,29.22,32.43,27.29,5.7475,1.8825,28.8,9.6
18.46,23.78,33.58,28.56,31.7,27.45,6.32652173913043,1.92782608695652,31.7,10.4
16.07,23.87,35.6,28.5,31.77,27.44,5.54708333333333,1.805,31.4,10.3
21.3,24.55,30.12,27.87,31.68,27.53,4.74833333333333,1.97375,34.8,10.8
25.13,26.26,27.59,27.12,33.24,26.86,7.56043478260869,2.41782608695652,27.9,10.1
27.27,28.01,26.55,26.3,36.34,25.37,9.44,2.68333333333333,41.2,11.7
30.93,32.24,24.62,24.52,39.58,23.84,14.555,3.72166666666666,41.3,12.9
