NAM 1 Hum BME280,NAM 1 Hum SHT30,NAM 2 Hum BME280,NAM 2 Hum SHT30,NAM 1 Temp BME280,NAM 1 Temp SHT30,NAM 2 Temp BME280,NAM 2 Temp SHT30,Luftdaten 1 PM10,Luftdaten 2 PM10,NAM 1 PM10,NAM 2 PM10,Luftdaten 1 PM2.5,Luftdaten 2 PM2.5,NAM 1 PM2.5,NAM 2 PM2.5,Reference 1 PM10,Reference 2 PM10,Reference 3 PM10,Reference 1 PM2.5,Reference 2 PM2.5,Reference 3 PM2.5
32.98,35.59,29.52,32.98,22.44,22.62,24.35,24.25,2.68,10.27,2.86,5.07,1.76,4.84,1.52,2.49,37.3,10.7,13.3,12.4,2.4,3.9
29.13,31.28,27.58,30.53,23.75,24.13,25.11,25.16,2.82,6.03,2.36,4.79,1.62,3.09,1.23,2.46,36.3,11.3,16.5,10.8,2,3.1
29.48,31.67,28.7,32.03,24.26,24.49,25.4,25.27,2.76,6.36,2.53,4.02,1.66,3.36,1.3,1.98,30.1,9.9,20.4,10.2,1.5,3.3
28.76,31.13,28.01,31.3,24.17,24.33,25.25,25,2.12,9.83,1.9,6.65,1.52,5.66,1.28,3.35,33.1,12.3,10.6,11.1,1.9,2.7
27.21,29.69,27.12,30.23,25.75,25.76,26.1,25.88,2.12,2.3,2.87,2.73,1.52,0.93,1.3,1.04,34.9,13.1,12.8,11.2,1.8,2.6
25.85,28.46,27.08,30.41,26.66,26.63,26.28,25.97,2.83,2.52,2.77,2.64,1.65,1.12,1.4,1.13,33.9,14.9,12.2,10.8,1.6,2.8
26.5,29.67,28.67,32.04,26.06,25.68,24.89,24.56,2.79,3.59,3.43,3.11,1.61,1.06,1.38,1.12,38.6,14.9,27.7,11.5,2.1,3.8
22.97,26.17,28.81,32.17,29.24,28.93,25.14,24.88,2.59,3.09,2.27,3.18,1.63,1.14,1.43,1.24,40.3,16.9,15.8,12.2,2,3.1
28.18,30.76,31.25,34.99,26.34,26.23,24.56,24.19,2.53,2.89,2.92,3.19,1.72,1.16,1.45,1.23,35.2,15,12.2,11.8,1.8,3.2
32.33,35.18,32.79,36.31,23.28,23.02,23.17,22.77,3.4,3.29,2.97,3.68,1.69,1.05,1.37,1.12,39.8,15.5,13.4,12.5,3,3.3
31.51,34.27,31.55,35,21.5,21.25,21.59,21.17,2.55,2.88,2.9,3.64,1.58,1.01,1.21,1.06,35.6,18,14.7,11.6,2.2,3.1
34.44,37.39,33.92,37.63,20.13,19.78,20.26,19.83,2.5,2.51,2.83,3.12,1.6,0.95,1.32,1.03,37.6,15.9,13,11.8,1.9,3.2
38.02,41.09,37.3,41.19,19,18.66,19.11,18.66,2.6,2.9,2.38,3.27,1.68,1.02,1.32,1.09,31,14.9,9.8,11.5,2.5,3.2
39.89,43.29,39.42,43.49,18.23,17.81,18.25,17.78,2.8,2.9,2.85,3.42,1.86,1.1,1.49,1.18,37.7,19.7,9.6,12.9,3,3.4
42.59,46.07,41.99,46.13,17.53,17.14,17.5,17.04,2.52,3.3,2.81,3.04,1.83,1.2,1.57,1.17,24.6,12,9.2,11.4,2.7,3.6
46.26,50.1,45.85,50.37,17.08,16.65,16.98,16.52,2.93,3.14,2.68,2.64,1.91,1.18,1.49,1.13,32.1,12.8,6.7,13.5,3.9,3.3
48.78,52.93,48.53,53.33,16.62,16.18,16.37,15.89,2.78,2.97,2.56,2.81,1.98,1.12,1.48,1.11,19.2,11.3,6.4,10.7,3.3,3.2
49.3,53.83,50.17,55.21,16.22,15.7,15.7,15.2,3.18,3.33,2.97,3.62,2.33,1.33,1.78,1.44,31,8.4,7,12.2,2.6,3.6
51.09,56.94,52.56,57.59,15.74,15.1,15.26,14.76,3.63,4.64,3.94,4.73,2.73,1.76,2.23,1.79,25.8,7.8,19.7,11.3,2.8,14.1
51.55,56.56,53.98,59.28,16.15,15.7,15.3,14.91,3.72,4.52,3.85,4.59,2.7,1.77,2.21,1.76,22.4,7.4,23.5,10.5,3.1,9.2
48.57,53.22,51.4,56.76,17.09,16.66,15.88,15.59,5.32,4.88,5.28,5.51,3.7,2.3,3.06,2.43,31.7,10.8,13.4,12.5,3.7,5.3
43.31,47,46.2,51.29,19.33,19.21,17.82,17.59,3.93,4.4,4.59,4.99,2.44,1.6,2.05,1.75,44.6,12.7,21.1,14.6,3.6,5.5
